Industry,Symbol,Sym,Company Name,Series,ISIN Code,
Oil Gas & Consumable Fuels,IGL,IGL.NS,Indraprastha Gas Ltd.,EQ,INE203G01027,500
Telecommunication,INDUSTOWER,INDUSTOWER.NS,Indus Towers Ltd.,EQ,INE121J01017,500
Financial Services,INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,EQ,INE095A01012,50
Consumer Services,NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,EQ,INE663F01024,100
Information Technology,INFY,INFY.NS,Infosys Ltd.,EQ,INE009A01021,50
Capital Goods,INOXWIND,INOXWIND.NS,Inox Wind Ltd.,EQ,INE066P01011,500
Information Technology,INTELLECT,INTELLECT.NS,Intellect Design Arena Ltd.,EQ,INE306R01017,500
Services,INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,EQ,INE646L01027,100
Services,IGIL,IGIL.NS,International Gemmological Institute (India) Ltd.,EQ,INE0Q9301021,500
Information Technology,IKS,IKS.NS,Inventurus Knowledge Solutions Ltd.,EQ,INE115Q01022,500
Healthcare,IPCALAB,IPCALAB.NS,Ipca Laboratories Ltd.,EQ,INE571A01038,500
Healthcare,JBCHEPHARM,JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,EQ,INE572A01036,500
Construction Materials,JKCEMENT,JKCEMENT.NS,J.K. Cement Ltd.,EQ,INE823G01014,500
Automobile and Auto Components,JBMA,JBMA.NS,JBM Auto Ltd.,EQ,INE927D01051,500
Automobile and Auto Components,JKTYRE,JKTYRE.NS,JK Tyre & Industries Ltd.,EQ,INE573A01042,500
Financial Services,JMFINANCIL,JMFINANCIL.NS,JM Financial Ltd.,EQ,INE780C01023,500
Power,JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,EQ,INE121E01018,100
Financial Services,JSWHL,JSWHL.NS,JSW Holdings Ltd.,BE,INE824G01012,500
Services,JSWINFRA,JSWINFRA.NS,JSW Infrastructure Ltd.,EQ,INE880J01026,500
Metals & Mining,JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,EQ,INE019A01038,50
