SYMBOL,NAMEOFCOMPANY,ASSET_TYPE,ISINNUMBER,ASSET_RANK
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,EQ,INE700A01033,500
JWL.NS,Jupiter Wagons Ltd.,EQ,INE209L01016,500
JUSTDIAL.NS,Justdial Ltd.,EQ,INE599M01018,500
JYOTHYLAB.NS,Jyothy Labs Ltd.,EQ,INE668F01031,500
JYOTICNC.NS,Jyoti CNC Automation Ltd.,EQ,INE980O01024,500
KPRMILL.NS,K.P.R. Mill Ltd.,EQ,INE930H01031,500
KEI.NS,KEI Industries Ltd.,EQ,INE878B01027,500
KNRCON.NS,KNR Constructions Ltd.,EQ,INE634I01029,500
KPITTECH.NS,KPIT Technologies Ltd.,EQ,INE04I401011,500
KAJARIACER.NS,Kajaria Ceramics Ltd.,EQ,INE217B01036,500
KPIL.NS,Kalpataru Projects International Ltd.,EQ,INE220B01022,500
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,EQ,INE303R01014,500
KANSAINER.NS,Kansai Nerolac Paints Ltd.,EQ,INE531A01024,500
KARURVYSYA.NS,Karur Vysya Bank Ltd.,EQ,INE036D01028,500
KAYNES.NS,Kaynes Technology India Ltd.,EQ,INE918Z01012,500
KEC.NS,Kec International Ltd.,EQ,INE389H01022,500
KFINTECH.NS,Kfin Technologies Ltd.,EQ,INE138Y01010,500
KIRLOSBROS.NS,Kirloskar Brothers Ltd.,EQ,INE732A01036,500
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,EQ,INE146L01010,500
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,EQ,INE237A01028,50
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,EQ,INE967H01025,500
LTF.NS,L&T Finance Ltd.,EQ,INE498L01015,500
LTTS.NS,L&T Technology Services Ltd.,EQ,INE010V01017,500
LICHSGFIN.NS,LIC Housing Finance Ltd.,EQ,INE115A01026,500
LTFOODS.NS,LT Foods Ltd.,EQ,INE818H01020,500
LTIM.NS,LTIMindtree Ltd.,EQ,INE214T01019,100
LT.NS,Larsen & Toubro Ltd.,EQ,INE018A01030,50
LATENTVIEW.NS,Latent View Analytics Ltd.,EQ,INE0I7C01011,500
LAURUSLABS.NS,Laurus Labs Ltd.,EQ,INE947Q01028,500
LEMONTREE.NS,Lemon Tree Hotels Ltd.,EQ,INE970X01018,500
LICI.NS,Life Insurance Corporation of India,EQ,INE0J1Y01017,100
LINDEINDIA.NS,Linde India Ltd.,EQ,INE473A01011,500
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,EQ,INE281B01032,500
LUPIN.NS,Lupin Ltd.,EQ,INE326A01037,500
MMTC.NS,MMTC Ltd.,EQ,INE123F01029,500
MRF.NS,MRF Ltd.,EQ,INE883A01011,500
LODHA.NS,Macrotech Developers Ltd.,EQ,INE670K01029,100
MGL.NS,Mahanagar Gas Ltd.,EQ,INE002S01010,500
MAHSEAMLES.NS,Maharashtra Seamless Ltd.,EQ,INE271B01025,500
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,EQ,INE774D01024,500
M&M.NS,Mahindra & Mahindra Ltd.,EQ,INE101A01026,50
MANAPPURAM.NS,Manappuram Finance Ltd.,EQ,INE522D01027,500
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,EQ,INE103A01014,500
MANKIND.NS,Mankind Pharma Ltd.,EQ,INE634S01028,500
MARICO.NS,Marico Ltd.,EQ,INE196A01026,500
MARUTI.NS,Maruti Suzuki India Ltd.,EQ,INE585B01010,50
MASTEK.NS,Mastek Ltd.,EQ,INE759A01021,500
MFSL.NS,Max Financial Services Ltd.,EQ,INE180A01020,500
MAXHEALTH.NS,Max Healthcare Institute Ltd.,EQ,INE027H01010,500
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,EQ,INE249Z01020,500
METROPOLIS.NS,Metropolis Healthcare Ltd.,EQ,INE112L01020,500
MINDACORP.NS,Minda Corporation Ltd.,EQ,INE842C01021,500
MSUMI.NS,Motherson Sumi Wiring India Ltd.,EQ,INE0FS801015,500
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,EQ,INE338I01027,500
MPHASIS.NS,MphasiS Ltd.,EQ,INE356A01018,500
MCX.NS,Multi Commodity Exchange of India Ltd.,EQ,INE745G01035,500
MUTHOOTFIN.NS,Muthoot Finance Ltd.,EQ,INE414G01012,500
NATCOPHARM.NS,NATCO Pharma Ltd.,EQ,INE987B01026,500
NBCC.NS,NBCC (India) Ltd.,EQ,INE095N01031,500
NCC.NS,NCC Ltd.,EQ,INE868B01028,500
NHPC.NS,NHPC Ltd.,EQ,INE848E01016,500
NLCINDIA.NS,NLC India Ltd.,EQ,INE589A01014,500
NMDC.NS,NMDC Ltd.,EQ,INE584A01023,500
NSLNISP.NS,NMDC Steel Ltd.,EQ,INE0NNS01018,500
NTPCGREEN.NS,NTPC Green Energy Ltd.,EQ,INE0ONG01011,500
NTPC.NS,NTPC Ltd.,EQ,INE733E01010,50
NH.NS,Narayana Hrudayalaya Ltd.,EQ,INE410P01011,500
NATIONALUM.NS,National Aluminium Co. Ltd.,EQ,INE139A01034,500
NAVA.NS,Nava Ltd.,EQ,INE725A01030,500
NAVINFLUOR.NS,Navin Fluorine International Ltd.,EQ,INE048G01026,500
NESTLEIND.NS,Nestle India Ltd.,EQ,INE239A01024,50
NETWEB.NS,Netweb Technologies India Ltd.,EQ,INE0NT901020,500
NETWORK18.NS,Network18 Media & Investments Ltd.,EQ,INE870H01013,500
NEULANDLAB.NS,Neuland Laboratories Ltd.,EQ,INE794A01010,500
NEWGEN.NS,Newgen Software Technologies Ltd.,EQ,INE619B01017,500
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,EQ,INE298J01013,500
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,EQ,INE995S01015,500
NUVAMA.NS,Nuvama Wealth Management Ltd.,EQ,INE531F01015,500
OBEROIRLTY.NS,Oberoi Realty Ltd.,EQ,INE093I01010,500
ONGC.NS,Oil & Natural Gas Corporation Ltd.,EQ,INE213A01029,50
OIL.NS,Oil India Ltd.,EQ,INE274J01014,500
OLAELEC.NS,Ola Electric Mobility Ltd.,EQ,INE0LXG01040,500
OLECTRA.NS,Olectra Greentech Ltd.,EQ,INE260D01016,500
PAYTM.NS,One 97 Communications Ltd.,EQ,INE982J01020,500
OFSS.NS,Oracle Financial Services Software Ltd.,EQ,INE881D01027,500
POLICYBZR.NS,PB Fintech Ltd.,EQ,INE417T01026,500
PCBL.NS,PCBL Chemical Ltd.,EQ,INE602A01031,500
PGEL.NS,PG Electroplast Ltd.,EQ,INE457L01029,500
PIIND.NS,PI Industries Ltd.,EQ,INE603J01030,500
PNBHOUSING.NS,PNB Housing Finance Ltd.,EQ,INE572E01012,500
PNCINFRA.NS,PNC Infratech Ltd.,EQ,INE195J01029,500
PTCIL.NS,PTC Industries Ltd.,EQ,INE596F01018,500
PVRINOX.NS,PVR INOX Ltd.,EQ,INE191H01014,500
PAGEIND.NS,Page Industries Ltd.,EQ,INE761H01022,500
PATANJALI.NS,Patanjali Foods Ltd.,EQ,INE619A01035,500
PERSISTENT.NS,Persistent Systems Ltd.,EQ,INE262H01021,500
PETRONET.NS,Petronet LNG Ltd.,EQ,INE347G01014,500
PFIZER.NS,Pfizer Ltd.,EQ,INE182A01018,500
PHOENIXLTD.NS,Phoenix Mills Ltd.,EQ,INE211B01039,500
PIDILITIND.NS,Pidilite Industries Ltd.,EQ,INE318A01026,100
